#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
900000,-2689004.2744714357,604621.2811914872,-2084382.9932799484,300.01475087350707,2239.2205748537226,17.1
905000,-2686916.810480248,604748.9880211203,-2082167.8224591278,300.078119355347,2240.5035355584737,17.1
910000,-2687134.6092856396,604918.1962207744,-2082216.4130648652,300.16208093169934,2240.5003078216987,17.1
915000,-2687984.225357674,604723.8314283778,-2083260.3939292962,300.0656365844965,2239.435347057743,17.1
920000,-2686201.007545572,602554.2180725178,-2083646.789473054,298.98906844060406,2238.6321033118993,17.1
925000,-2682183.7631228883,604726.9992553046,-2077456.7638675836,300.06720846897326,2241.3110493512168,17.1
930000,-2688886.9333067797,605121.8248170736,-2083765.1084897062,300.2631220040033,2240.8895666042063,17.1
935000,-2688830.599816961,603288.3877357112,-2085542.21208125,299.35336545669287,2240.584020899504,17.1
940000,-2687174.9332030937,604083.974421535,-2083090.9587815586,299.7481377691649,2237.7199961696488,17.1
945000,-2688741.4149719663,605963.9727261015,-2082777.4422458648,300.6809981241223,2236.820340656959,17.1
950000,-2685441.733499421,605078.6669525661,-2080363.0665468546,300.2417069523483,2239.3970717551965,17.1
955000,-2685794.689964775,605307.6268825112,-2080487.0630822638,300.3553175024221,2239.9543888268067,17.1
960000,-2687504.7561112847,604481.57417429,-2083023.1819369947,299.9454278654299,2240.395149777815,17.1
965000,-2684836.2262620926,606466.1074297888,-2078370.1188323037,300.9301587519699,2244.483557165764,17.1
970000,-2686488.506564688,604609.8131953935,-2081878.6933692945,300.00906042214837,2241.211418281516,17.1
975000,-2682982.5375056844,605754.2215194888,-2077228.3159861956,300.5769189956581,2240.1342512134706,17.1
980000,-2683354.1996349115,604970.9226480732,-2078383.2769868383,300.1882439306585,2241.6026771544334,17.1
985000,-2681753.6356698032,605982.1660045513,-2075771.469665252,300.69002567917454,2241.930769798206,17.1
990000,-2684835.3822920695,604946.6721126982,-2079888.7101793713,300.176210747978,2242.692869770663,17.1
995000,-2687061.1092887074,605071.4485373029,-2081989.6607514045,300.23812515474333,2242.7500850132997,17.1
1000000,-2683288.979748575,601865.3256018001,-2081423.654146775,298.6472380925659,2241.9421740137004,17.1
1005000,-2685618.650239786,603339.7937375777,-2082278.8565022084,299.378873256903,2241.4527606157035,17.1
1010000,-2685106.156074131,603619.2951671379,-2081486.860906993,299.5175626387802,2242.4941444745787,17.1
1015000,-2685859.3450814877,606748.6732551211,-2079110.6718263666,301.07036869549916,2241.7951128427408,17.1
1020000,-2686599.2228274755,604982.6672869743,-2081616.5555405011,300.1940716529428,2243.3702558368495,17.1
1025000,-2686225.7713789567,602785.5060458436,-2083440.2653331133,299.103834172238,2244.7451770630273,17.1
1030000,-2687152.836629903,601217.0817347296,-2085935.7548951735,298.3255776940083,2242.811741642603,17.1
1035000,-2686966.1166856214,603950.5183084838,-2083015.5983771377,299.68191647700206,2241.2640420280654,17.1
